"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Adams, Lane","572669","2017","0","42.9","1.3","0.6","-0.1","1.7","35.9","14","6"
"Adduci, James","451192","2017","-1","29.4","-0.6","-0.9","0.2","-1.4","30.7","17","5"
"Almonte, Abraham","501659","2017","2","63.6","-0.7","1.3","-0.9","-0.4","31.3","22","14"
"Almora Jr., Albert","546991","2017","-2","43.6","0.3","0.8","-0.7","0.4","34","39","17"
"Altherr, Aaron","571437","2017","-1","45.5","-0.3","-0.4","0.1","-0.6","31","55","25"
"Aoki, Norichika","493114","2017","-1","27.5","-0.3","1","-0.5","0.2","31.9","40","11"
"Bautista, José","430832","2017","-7","33.8","-1.6","-0.4","0.8","-1.3","30.9","74","25"
"Bellinger, Cody","641355","2017","3","60","2","1.9","-0.4","3.5","36.9","15","9"
"Benintendi, Andrew","643217","2017","-4","31.8","-0.8","-1.5","1","-1.3","29.5","66","21"
"Betts, Mookie","605141","2017","16","61.6","0.6","0.9","0.1","1.6","34.2","112","69"
"Blackmon, Charlie","453568","2017","-6","37.1","0.3","-1.1","0.5","-0.4","33.4","89","33"
"Blanco, Grégor","453923","2017","1","50","1","0.5","-0.3","1.2","33.9","18","9"
"Blash, Jabari","518466","2017","-4","39.3","-0.1","0","0.4","0.3","32.4","28","11"
"Bonifacio, Jorge","593528","2017","-3","43.2","-0.2","-0.6","-0.1","-0.8","31.2","44","19"
"Bourjos, Peter","488721","2017","3","68.2","1.1","0.3","0.2","1.6","34.9","22","15"
"Bradley Jr., Jackie","598265","2017","9","62.7","0.7","2.9","-2.2","1.5","35.1","75","47"
"Brantley, Michael","488726","2017","-1","41.3","-1.2","-0.8","0.6","-1.4","30.8","46","19"
"Braun, Ryan","460075","2017","-2","38.5","-0.9","1.3","-1.1","-0.7","32.3","39","15"
"Broxton, Keon","542979","2017","9","60.7","1.4","1.1","-0.6","1.9","35","56","34"
"Bruce, Jay","457803","2017","1","59.4","-0.1","1.3","-0.7","0.5","33.2","64","38"
"Brugman, Jaycob","595144","2017","-1","43.8","0.6","1.1","-0.1","1.6","35.1","32","14"
"Buxton, Byron","621439","2017","24","79.1","1.9","-0.4","0.5","2","35.5","91","72"
"Cabrera, Melky","466320","2017","-13","17.1","-2.4","-1.6","0.8","-3.2","28.9","82","14"
"Cain, Lorenzo","456715","2017","12","67.4","0.8","0.1","-0.1","0.8","34.5","92","62"
"Calhoun, Kole","594777","2017","-6","36.6","-1.1","-0.2","0.5","-0.8","31.4","71","26"
"Canha, Mark","592192","2017","-3","36.4","-2","0.5","-0.4","-1.8","30.6","22","8"
"Carrera, Ezequiel","485567","2017","-7","31.4","0.2","-0.5","0.7","0.4","32.3","35","11"
"Cespedes, Yoenis","493316","2017","-2","35.9","-0.8","-1.4","0.4","-1.7","31.2","39","14"
"Chisenhall, Lonnie","502082","2017","0","46.4","-0.1","0.4","-0.4","0","31.9","28","13"
"Choo, Shin-Soo","425783","2017","-7","36.6","-1.7","-0.3","-0.1","-2.1","30.2","41","15"
"Collins, Tyler","607385","2017","-1","38.1","0.2","0.2","0.5","0.9","34.1","21","8"
"Conforto, Michael","624424","2017","1","47.3","-1.4","0.4","-1.3","-2.3","30.6","55","26"
"Cordero, Franchy","614173","2017","3","78.6","1.8","1.5","-1.3","2","35.1","14","11"
"Davis, Khris","501981","2017","4","61.8","-0.8","1","0.2","0.4","33.2","55","34"
"Davis, Rajai","434658","2017","-2","41.9","-1.3","-1.4","0.6","-2.2","30.7","31","13"
"DeShields, Delino","592261","2017","4","58","1.9","-0.5","0.2","1.6","35","50","29"
"Delmonico, Nicky","547170","2017","-1","44.4","0.2","0.2","-0.5","0","31.8","18","8"
"Desmond, Ian","435622","2017","-3","47.4","0.7","-1.3","0.8","0.2","33","38","18"
"Dickerson, Corey","572816","2017","3","54.8","1.5","1.5","-0.3","2.7","34.4","42","23"
"Duvall, Adam","594807","2017","7","54.2","0.5","1.6","-1.3","0.9","33.3","72","39"
"Dyson, Jarrod","502481","2017","7","60","1.9","0.6","-0.5","2","35.5","45","27"
"Eaton, Adam","594809","2017","0","23.1","1.9","0.9","-0.7","2.1","34.9","13","3"
"Ellsbury, Jacoby","453056","2017","0","48.6","0","-0.9","0.4","-0.5","32.3","37","18"
"Engel, Adam","641553","2017","17","70.8","2.2","-0.7","0.7","2.1","35.4","65","46"
"Ervin, Phillip","640447","2017","-2","36.4","-0.4","0.1","-1.5","-1.8","30.2","11","4"
"Fisher, Derek","605233","2017","3","61.5","1.1","-0.4","-0.3","0.5","32.7","26","16"
"Fowler, Dexter","451594","2017","-8","26.1","-1.8","-1.7","-0.3","-3.8","29.7","46","12"
"Frazier, Adam","624428","2017","1","52","0.3","0.9","-0.3","0.9","33.2","25","13"
"Frazier, Clint","640449","2017","0","50","0.5","-0.9","0.5","0.1","33","10","5"
"Gallo, Joey","608336","2017","0","53.8","0.6","2.1","-0.1","2.7","36.2","13","7"
"Gamel, Ben","592325","2017","-1","45.9","0","-0.2","0.3","0.1","31.7","61","28"
"García, Avisaíl","541645","2017","3","57.7","-1","-0.8","0.6","-0.8","32.1","52","30"
"García, Leury","544725","2017","2","50","1","-0.2","0.4","1.1","34.2","38","19"
"García, Willy","591994","2017","0","34.8","-1.1","1.2","-0.7","-0.6","31.8","23","8"
"Gardner, Brett","458731","2017","6","62.3","0.5","0.2","0.5","1.2","34.3","69","43"
"Gentry, Craig","502226","2017","0","38.5","1.2","-0.1","0.5","1.6","33.6","13","5"
"Gonzalez, Marwin","503556","2017","0","44.4","-0.2","2.3","-2.2","0","31.2","36","16"
"González, Carlos","471865","2017","1","45.6","-0.4","2.2","-2.7","-0.9","32.2","57","26"
"Goodwin, Brian","571718","2017","-3","33.3","-0.3","-1","0.2","-1.1","31.8","30","10"
"Gordon, Alex","460086","2017","2","55.4","-0.6","-0.7","0.7","-0.5","31.3","56","31"
"Granderson, Curtis","434158","2017","-3","37.7","-1.4","-0.7","0.7","-1.4","31.3","53","20"
"Granite, Zack","643335","2017","4","81.3","1.2","1.1","0","2.3","36.7","16","13"
"Grichuk, Randal","545341","2017","6","59.3","1.7","-1.3","0.6","0.9","32.9","54","32"
"Grossman, Robbie","543257","2017","0","26.9","0.3","-0.1","0.1","0.3","31.3","26","7"
"Guyer, Brandon","446386","2017","1","54.2","0.3","0.8","0.1","1.2","33.5","24","13"
"Gómez, Carlos","460576","2017","2","51.8","-0.8","-0.8","0.3","-1.3","32.3","56","29"
"Hamilton, Billy","571740","2017","9","66.2","1.1","0.3","-0.2","1.2","34.4","74","49"
"Haniger, Mitch","571745","2017","1","54.5","0.3","0.3","0.3","0.8","33.5","55","30"
"Hanson, Alen","593700","2017","-3","27.8","-0.8","0.2","-0.6","-1.2","31.2","18","5"
