"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Acuña Jr., Ronald","660670","2018","4","51.1","0.9","-0.4","0.3","0.8","33.5","45","23"
"Allen, Greg","656185","2018","1","42.5","-0.7","-0.5","-0.7","-1.9","31","40","17"
"Almonte, Abraham","501659","2018","-2","40","-1.4","-0.6","-0.3","-2.4","31.5","20","8"
"Almora Jr., Albert","546991","2018","8","69.8","0.8","0.8","-0.1","1.4","35.6","63","44"
"Altherr, Aaron","571437","2018","1","45.5","-0.3","-0.4","0.2","-0.5","32.1","22","10"
"Anderson, Brian","605119","2018","-1","37","-0.4","0","0.3","-0.1","32.8","46","17"
"Andreoli, John","607430","2018","2","76.9","1.4","1.7","-1","2","35.8","13","10"
"Bader, Harrison","664056","2018","16","76","2.6","1.3","-0.7","3.2","36.6","75","57"
"Bautista, José","430832","2018","-5","36.4","-1.9","-0.4","0.8","-1.5","31.7","33","12"
"Bellinger, Cody","641355","2018","4","61.3","1.6","0.7","-0.1","2.2","36.5","31","19"
"Benintendi, Andrew","643217","2018","1","45.8","-0.7","-1.2","0.8","-1.2","31.1","72","33"
"Betts, Mookie","605141","2018","8","59.4","0.4","0.1","0.3","0.8","34","69","41"
"Blackmon, Charlie","453568","2018","-9","26.8","-1","-1.6","0.5","-2.2","31.5","82","22"
"Blanco, Grégor","453923","2018","1","56.3","-0.5","0.4","-0.8","-0.9","32.7","32","18"
"Bonifacio, Jorge","593528","2018","-1","32.3","-1.5","-0.2","-0.8","-2.4","29.6","31","10"
"Bradley Jr., Jackie","598265","2018","9","54.9","1.1","2.9","-2.3","1.7","35.5","82","45"
"Brantley, Michael","488726","2018","-3","39.3","-1.4","-1","0.4","-2.1","30.3","56","22"
"Braun, Ryan","460075","2018","0","41","-1.1","1.3","-0.8","-0.6","32.8","39","16"
"Brinson, Lewis","621446","2018","0","51.5","0.6","-1","0.6","0.2","34.3","66","34"
"Broxton, Keon","542979","2018","6","88.2","2.1","0.9","0.3","3.3","37.3","17","15"
"Bruce, Jay","457803","2018","-3","41.2","-2.4","1.3","-1","-2.1","31.3","34","14"
"Bryant, Kris","592178","2018","0","54.5","-1.3","0.5","-0.3","-1.1","32.2","11","6"
"Buxton, Byron","621439","2018","1","54.5","1.3","-0.8","0.3","0.7","35","11","6"
"Cabrera, Melky","466320","2018","-5","20.8","-1.7","-1.2","0.8","-2.1","31.4","24","5"
"Cain, Lorenzo","456715","2018","16","70.4","1.2","0.9","-0.2","1.8","35.6","81","57"
"Calhoun, Kole","594777","2018","0","43.9","-0.5","0.4","-0.3","-0.4","32.6","57","25"
"Canha, Mark","592192","2018","1","51.1","-0.4","0.8","0.1","0.5","33.5","45","23"
"Castellanos, Nick","592206","2018","-20","14.9","-1.6","-0.9","-0.1","-2.7","29.4","74","11"
"Cave, Jake","595909","2018","2","47.7","0.3","0.3","-0.2","0.4","33.8","44","21"
"Cespedes, Yoenis","493316","2018","-4","17.6","-1.4","-1.4","0.6","-2.2","30.4","17","3"
"Choo, Shin-Soo","425783","2018","-3","30","-0.8","-0.9","1","-0.7","32.5","30","9"
"Conforto, Michael","624424","2018","6","55.1","-0.1","1.6","-1.2","0.3","33.9","49","27"
"Cordero, Franchy","614173","2018","-1","33.3","-0.6","0","-0.7","-1.3","31.6","21","7"
"Cuevas, Noel","571595","2018","-1","36.4","-1.6","0","-0.1","-1.7","30.3","11","4"
"Culberson, Charlie","518586","2018","-1","28.6","-0.7","0.4","-2","-2.3","29.7","14","4"
"Dahl, David","621311","2018","-1","46.9","1.1","-0.8","0.5","0.7","33.6","32","15"
"Davis, Rajai","434658","2018","-1","47.6","0","-1.7","1","-0.8","32.1","21","10"
"DeShields, Delino","592261","2018","11","63.6","0.9","-1.3","0.5","0.6","34.2","88","56"
"Dean, Austin","621573","2018","-2","14.3","-1.2","0","-0.2","-1.4","32.2","14","2"
"Delmonico, Nicky","547170","2018","2","45.2","0","-0.4","0.8","0.4","33.6","31","14"
"Dickerson, Corey","572816","2018","8","63.9","0.9","1.3","0.3","2.5","35.9","61","39"
"Dietrich, Derek","518618","2018","-8","15.2","-2","-0.3","-0.6","-2.8","29.6","33","5"
"Duggar, Steven","621453","2018","2","63.2","0.6","0.3","-0.2","0.7","34.4","19","12"
"Duvall, Adam","594807","2018","5","57.1","0.7","1","-0.5","1.3","35","49","28"
"Dyson, Jarrod","502481","2018","1","71.4","2.6","0.9","-1","2.5","36.2","14","10"
"Eaton, Adam","594809","2018","-4","25","-1.8","0.8","-0.8","-1.9","31.3","40","10"
"Engel, Adam","641553","2018","11","60.5","1.9","-0.6","0.3","1.6","35","81","49"
"Ervin, Phillip","640447","2018","-3","34.5","-0.6","1.1","-1.2","-0.8","33","29","10"
"Field, Johnny","608654","2018","-2","43.5","-2","-0.2","0.1","-2.1","30.9","23","10"
"Fowler, Dexter","451594","2018","-6","11.5","-1.4","-1","-0.2","-2.7","30","26","3"
"Fowler, Dustin","641583","2018","-4","32.4","0.5","-1.2","0","-0.7","33.1","37","12"
"Frazier, Adam","624428","2018","0","50","-0.8","-0.4","-0.4","-1.6","30.6","14","7"
"Gallo, Joey","608336","2018","0","38.5","-0.5","1.5","-0.6","0.4","32.9","39","15"
"Galloway, Isaac","543194","2018","1","80","0.6","-0.6","0.5","0.5","33.7","10","8"
"Gamel, Ben","592325","2018","-3","47.4","-0.5","-0.6","0.2","-1","32","38","18"
"García, Avisaíl","541645","2018","5","46.2","-0.3","-0.3","0.4","-0.2","32.5","65","30"
"García, Leury","544725","2018","3","46.7","0.4","-0.2","0.4","0.6","33.2","30","14"
"Gardner, Brett","458731","2018","0","52.2","0.2","0","0.3","0.6","34.3","69","36"
"Gentry, Craig","502226","2018","2","63.2","1","-0.2","0.1","1","34.2","19","12"
"Gonzalez, Marwin","503556","2018","1","56.3","0.1","3.2","-2.1","1.1","32.8","16","9"
"González, Carlos","471865","2018","3","43.3","0.3","2.2","-2.3","0.2","33.3","60","26"
"Goodwin, Brian","571718","2018","0","46.2","-0.1","-0.3","-0.1","-0.6","33.3","13","6"
"Gordon, Alex","460086","2018","2","53.2","-0.7","-0.7","0.6","-0.7","31.9","77","41"
"Granderson, Curtis","434158","2018","-4","41","-0.5","0.1","0.3","-0.1","32.5","39","16"
"Grichuk, Randal","545341","2018","7","64.2","1.2","-1.4","0.8","0.5","33","53","34"
"Grossman, Robbie","543257","2018","-2","37.1","-0.7","-0.4","0.1","-0.9","31.4","35","13"
"Guyer, Brandon","446386","2018","0","36.4","0.5","0.5","-0.3","0.7","32.8","22","8"
"Gómez, Carlos","460576","2018","1","52","-0.1","0.2","0.2","0.3","33.3","50","26"
"Hamilton, Billy","571740","2018","12","58.6","1.1","0.6","0.1","1.8","35.2","99","58"
"Haniger, Mitch","571745","2018","-3","45.2","-0.4","0","0.3","-0.1","33.2","84","38"
"Hanson, Alen","593700","2018","-2","30","0.6","-0.6","-0.6","-0.6","32.9","10","3"
"Happ, Ian","664023","2018","-4","40.5","-0.6","0.3","-0.7","-0.9","32.3","42","17"
"Harper, Bryce","547180","2018","-11","26.8","-1","-1","-0.2","-2.2","30.9","56","15"
"Heredia, Guillermo","628338","2018","5","56.9","0.3","1.5","-1.1","0.7","34.2","58","33"
"Hermosillo, Michael","641684","2018","1","60","0.7","1.6","-0.8","1.5","34.4","10","6"
"Hernández, Enrique","571771","2018","5","64.3","-0.2","4.4","-2.7","1.5","34.7","28","18"
"Hernández, Gorkys","491676","2018","2","54.2","0.6","-0.9","0.6","0.3","33.8","59","32"
"Hernández, Teoscar","606192","2018","-4","40","-0.7","0.7","-0.7","-0.7","32.1","60","24"
"Herrera, Odúbel","546318","2018","4","61.7","0.7","1.3","-1","1","34.6","81","50"
"Herrera, Rosell","594011","2018","0","52.6","-2.5","-1.7","0.6","-3.6","29.5","19","10"
"Heyward, Jason","518792","2018","3","59","1.2","1.1","-0.5","1.7","34.9","61","36"
"Hicks, Aaron","543305","2018","-5","37.7","-1.1","-1.1","0.5","-1.7","32","53","20"
"Hoskins, Rhys","656555","2018","-14","17.3","-3.1","1","-1.6","-3.7","29","52","9"
"Inciarte, Ender","542255","2018","15","71.6","1.7","2.6","-0.9","3.3","37.2","81","58"
"Jackson, Austin","457706","2018","-2","39.2","-0.4","-0.4","-0.2","-1.1","32.9","51","20"
"Jankowski, Travis","608671","2018","8","65.8","1.9","-0.8","0.3","1.3","34.5","38","25"
"Jay, Jon","445055","2018","-2","43.1","-0.6","0.3","0.3","0","33.5","58","25"
