"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Almonte, Abraham","501659","2016","2","57.9","0","0.8","-0.8","-0.1","31.9","19","11"
"Almora Jr., Albert","546991","2016","0","61.1","0.5","0.8","-0.5","0.7","34.4","18","11"
"Altherr, Aaron","571437","2016","1","57.1","0.4","-0.2","-0.1","0.1","31.5","28","16"
"Aoki, Norichika","493114","2016","-2","44.9","0","0.2","-0.4","-0.2","32.5","49","22"
"Arcia, Oswaldo","542455","2016","-4","34.6","-1.1","-1.2","0.6","-1.8","30.7","26","9"
"Asche, Cody","605125","2016","-3","21.7","-3.2","-0.4","0.7","-2.9","28.9","23","5"
"Aviles, Mike","449107","2016","0","40","-0.4","1.6","-0.6","0.6","33.8","10","4"
"Barnes, Brandon","488681","2016","1","57.1","-0.6","-0.7","0.1","-1.2","31.3","14","8"
"Bautista, José","430832","2016","-4","35.6","-2.7","-0.4","0.5","-2.7","28.5","45","16"
"Beltrán, Carlos","136860","2016","-1","42.9","-1.6","-1.4","0.7","-2.3","29.9","28","12"
"Betts, Mookie","605141","2016","12","61.9","0.6","1.4","-0.2","1.8","34.1","84","52"
"Blackmon, Charlie","453568","2016","0","49.4","0.1","-1.2","0.5","-0.6","32.7","77","38"
"Blanco, Grégor","453923","2016","-2","41.2","-0.4","0.2","-0.8","-1","31.4","34","14"
"Blash, Jabari","518466","2016","1","71.4","1.4","0.8","0.2","2.3","35.7","14","10"
"Bourjos, Peter","488721","2016","7","63.5","1.1","0.2","-0.1","1.2","33.8","63","40"
"Bourn, Michael","456422","2016","2","51.9","0.9","-0.5","0.3","0.6","33.8","52","27"
"Bradley Jr., Jackie","598265","2016","11","55.4","0.9","3.2","-2.1","1.9","35.2","92","51"
"Braun, Ryan","460075","2016","-7","28.8","-1.2","0.9","-0.6","-0.8","31.7","59","17"
"Brito, Sócrates","593647","2016","2","73.3","-0.6","0.2","0.2","-0.2","33.2","15","11"
"Broxton, Keon","542979","2016","6","72.4","2.3","1.6","-0.3","3.6","36.7","29","21"
"Bruce, Jay","457803","2016","0","42","-0.1","1.5","-0.8","0.6","33.2","81","34"
"Bryant, Kris","592178","2016","3","63.2","0.4","0.5","0","0.8","33.5","19","12"
"Burns, Billy","542993","2016","-2","37.8","-0.2","-0.8","0.4","-0.5","32.4","37","14"
"Buss, Nick","502544","2016","0","60","1.5","-0.2","1","2.2","35.4","10","6"
"Buxton, Byron","621439","2016","7","64.8","1.2","-1.5","0.7","0.4","34.1","54","35"
"Byrd, Marlon","407781","2016","-2","25","-3.4","-0.7","0.3","-3.7","27.9","12","3"
"Cabrera, Melky","466320","2016","-10","24.3","-2.3","-1.5","0.8","-3","28.8","70","17"
"Cain, Lorenzo","456715","2016","4","50","0.6","-0.2","0.1","0.4","33.5","62","31"
"Calhoun, Kole","594777","2016","-1","43.6","-0.1","0","0.8","0.7","33.4","78","34"
"Carrera, Ezequiel","485567","2016","-2","50","-0.2","-0.5","0.4","-0.3","32.3","36","18"
"Cespedes, Yoenis","493316","2016","-10","27.7","-1.1","-1.8","0.6","-2.3","30.6","65","18"
"Chisenhall, Lonnie","502082","2016","-4","41.1","-0.3","1","-0.6","0.1","32.2","56","23"
"Choo, Shin-Soo","425783","2016","-1","50","0.1","1.1","0","1.3","34.3","18","9"
"Coghlan, Chris","458085","2016","0","41.2","-1","-0.6","0.6","-1","30.4","17","7"
"Collins, Tyler","607385","2016","0","33.3","-0.8","-0.2","0.5","-0.5","32.5","18","6"
"Conforto, Michael","624424","2016","0","50","0.1","1.5","-0.7","0.8","33.4","36","18"
"Contreras, Willson","575929","2016","0","30","0.6","1","-0.2","1.4","32.3","10","3"
"Crawford, Carl","408307","2016","-3","20","-0.6","-1.4","1.4","-0.6","30.1","10","2"
"Crisp, Coco","424825","2016","0","51.6","1.2","1.4","0","2.6","35.3","62","32"
"Cruz, Nelson","443558","2016","-2","35.7","-0.9","0.9","-0.2","-0.2","32.1","28","10"
"Dahl, David","621311","2016","0","42.1","0.2","-1.1","0.5","-0.4","31.9","19","8"
"Davis, Khris","501981","2016","3","55","-0.9","0.2","0.2","0.4","32.5","40","22"
"Davis, Rajai","434658","2016","0","47.3","-0.5","-1.7","0.6","-1.7","31.1","55","26"
"De Aza, Alejandro","457477","2016","0","48.1","-0.3","0.1","-0.5","-0.7","31.9","27","13"
"DeShields, Delino","592261","2016","0","40","0.2","-1.3","0.2","-1","32","25","10"
"Desmond, Ian","435622","2016","5","58.4","0.6","-1.1","0.6","0","33.7","89","52"
"Dickerson, Alex","543105","2016","-4","33.3","-0.8","0.1","-0.3","-1.1","30.8","27","9"
"Dickerson, Corey","572816","2016","-3","34.4","-0.3","1.3","-0.4","0.6","32.2","32","11"
"Drury, Brandon","592273","2016","-5","33.3","-2.3","1.2","-1.7","-2.5","29.7","45","15"
"Duvall, Adam","594807","2016","3","49.3","0.1","1.9","-1.3","0.7","32.4","73","36"
"Dyson, Jarrod","502481","2016","6","68.4","1.7","-0.1","0","1.5","35","38","26"
"Eaton, Adam","594809","2016","13","59","0.8","1","-0.3","1.4","33.9","105","62"
"Eibner, Brett","518649","2016","2","50","0.2","-0.1","0.1","0.2","33","20","10"
"Ellsbury, Jacoby","453056","2016","2","50","1.2","-0.6","0.6","1.1","34.7","64","32"
"Flores, Ramón","570717","2016","-7","34.4","-1.2","-0.1","-0.3","-1.5","30.4","32","11"
"Fowler, Dexter","451594","2016","-6","36.2","-1.1","-1.2","-0.3","-2.7","31.3","58","21"
"Francoeur, Jeff","425796","2016","-2","34.8","-2.3","-1.8","0.9","-3.2","28.5","23","8"
"Frazier, Adam","624428","2016","-1","60","0.4","0.2","-0.2","0.3","33.2","10","6"
