"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Acuña Jr., Ronald","660670","2022","-8","33.3","-1","-1.1","0.8","-1.3","31.6","36","12"
"Adell, Jo","666176","2022","-3","40.5","-0.4","-2.3","0.5","-2.2","31.3","37","15"
"Allen, Greg","656185","2022","1","50","1.3","0.6","-0.4","1.5","34.8","16","8"
"Almora Jr., Albert","546991","2022","4","57.1","0.3","0.4","0","0.7","33.9","42","24"
"Alvarez, Yordan","670541","2022","-3","36.4","-2.8","-0.9","0.4","-3.2","29.1","22","8"
"Anderson, Brian","605119","2022","-2","33.3","0.3","-0.1","0.4","0.5","34","21","7"
"Aquino, Aristides","606157","2022","1","50","1.2","0","-0.2","0.9","33","30","15"
"Arozarena, Randy","668227","2022","-2","40.4","-0.5","-0.2","-0.2","-0.9","31.1","52","21"
"Arroyo, Christian","624414","2022","-2","36.4","-0.4","0.4","-0.1","-0.1","31.9","11","4"
"Azócar, José","640492","2022","7","80","2.1","3.5","-2.2","3.4","37.2","30","24"
"Baddoo, Akil","668731","2022","0","57.6","-0.5","-0.3","0","-0.8","32.2","33","19"
"Bader, Harrison","664056","2022","4","63.9","1.3","0.1","-0.3","1","35.6","36","23"
"Barrera, Luis","642456","2022","2","72.7","-0.1","1.6","-0.6","0.8","34.1","11","8"
"Bellinger, Cody","641355","2022","4","50.8","0.6","0","0.4","1","34.8","59","30"
"Benintendi, Andrew","643217","2022","-2","45.1","0.2","0","0.2","0.4","33.5","51","23"
"Benson, Will","666181","2022","0","64.3","-0.8","-1.3","0.2","-1.9","30.6","14","9"
"Betts, Mookie","605141","2022","3","59.4","0.8","0.2","0.2","1.2","34.5","69","41"
"Blackmon, Charlie","453568","2022","-4","37","-0.7","-1.6","0.7","-1.5","31.7","27","10"
"Bleday, JJ","668709","2022","0","34.5","0.5","-0.6","0.3","0.1","33.4","29","10"
"Bolt, Skye","621450","2022","1","46.7","0.9","0.2","0.3","1.5","35.3","15","7"
"Bouchard, Sean","656248","2022","0","45.5","-1.6","-0.2","0.2","-1.6","31.6","11","5"
"Bradley Jr., Jackie","598265","2022","6","52.3","0.8","2.4","-0.9","2.3","36.4","65","34"
"Brantley, Michael","488726","2022","-2","33.3","-1.7","-0.1","0.3","-1.6","32.6","12","4"
"Brown, Seth","664913","2022","-5","36","-2","0.3","-0.1","-1.8","30.9","25","9"
"Bryant, Kris","592178","2022","-2","10","-0.7","0.9","-0.4","-0.3","32.1","10","1"
"Buxton, Byron","621439","2022","5","70.8","1.1","-0.1","0.1","1","35.1","24","17"
"Cabrera, Oswaldo","665828","2022","-1","43.8","1.6","1.5","-0.2","2.9","37.4","16","7"
"Cain, Lorenzo","456715","2022","3","56.5","1.9","0.7","-0.6","1.9","36.2","23","13"
"Calhoun, Kole","594777","2022","-1","38.1","-0.8","1","-0.9","-0.8","32","42","16"
"Call, Alex","669743","2022","-1","38.5","-1.8","0.2","-0.2","-1.7","31.7","13","5"
"Canha, Mark","592192","2022","-2","41.1","-0.5","-0.2","0.1","-0.5","32.8","56","23"
"Capel, Conner","668843","2022","1","54.5","0.6","1.5","-0.3","1.9","36.1","11","6"
"Carlson, Dylan","666185","2022","1","46.8","-0.8","-0.9","0.6","-1.1","32.6","62","29"
"Carroll, Corbin","682998","2022","5","83.3","2.1","0","-0.3","1.8","34.9","18","15"
"Castellanos, Nick","592206","2022","-10","31.4","-1.8","-0.3","-0.2","-2.3","31.4","70","22"
"Castillo, Diego","660636","2022","-1","33.3","-2.1","0.2","-0.3","-2.2","31.5","12","4"
"Castro, Willi","650489","2022","0","45.7","1","1.3","-0.7","1.6","34.4","35","16"
"Cave, Jake","595909","2022","0","41.7","-0.9","-0.3","-1","-2.2","30.7","24","10"
"Celestino, Gilberto","665482","2022","2","57.6","0.3","0.2","0.2","0.6","34.8","59","34"
"Contreras, Mark","676628","2022","2","71.4","1.2","-0.6","0.4","1","32.7","14","10"
"Davis, Jonathan","641505","2022","4","73.3","1.7","0.6","-0.1","2.2","36.2","15","11"
"Daza, Yonathan","602074","2022","0","41.4","-0.6","1","-0.7","0","33.7","58","24"
"De La Cruz, Bryan","650559","2022","-2","41.9","0.5","-0.3","0.4","0.6","33.4","43","18"
"Demeritte, Travis","641513","2022","-2","33.3","-1.6","-0.6","-0.3","-2.5","29.2","15","5"
"Dickerson, Corey","572816","2022","0","50","-0.9","-0.1","0","-1","30.5","16","8"
"Donovan, Brendan","680977","2022","-3","36.8","-1","1.1","-1.1","-1","32.9","19","7"
"Dozier, Hunter","641531","2022","-3","23.5","-2.6","-2.1","0.4","-4.6","28.6","17","4"
"Dubón, Mauricio","643289","2022","1","55","1.1","0.3","-0.1","1.3","35.4","20","11"
"Duran, Jarren","680776","2022","-3","37.8","0.7","1.7","-1.5","0.8","35.3","37","14"
"Duvall, Adam","594807","2022","3","62.5","0.6","1","-0.7","1","34.5","32","20"
"Eaton, Nate","681987","2022","2","50","0.4","-0.8","0.4","0","33.2","12","6"
"Engel, Adam","641553","2022","1","46.4","1.8","-1","0.6","1.4","35.5","28","13"
"Fraley, Jake","641584","2022","-2","21.7","0.2","-0.8","-0.2","-0.8","32.8","23","5"
"Frazier, Adam","624428","2022","-2","57.1","-1","-0.7","-0.4","-2.1","32.1","14","8"
"Friedl, TJ","670770","2022","0","39.3","0.8","0.9","-1.6","0.1","32.8","28","11"
"Gallo, Joey","608336","2022","0","42.5","0.1","1.1","-0.2","1","33.9","40","17"
"Gamel, Ben","592325","2022","-2","47.7","-1.2","-1","0.1","-2.1","31.4","44","21"
"García, Adolis","666969","2022","2","51.6","0.3","0.7","-0.2","0.7","33.7","64","33"
"García, Avisaíl","541645","2022","-1","36.8","-2","-1","0.5","-2.5","29.4","38","14"
"García, Leury","544725","2022","2","66.7","1.5","-0.2","0.2","1.5","34.5","12","8"
