"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Abreu, Wilyer","677800","2026","2","51","1.7","0.9","0.4","3","36.4","51","26"
"Acuña Jr., Ronald","660670","2026","-9","23.7","-2.2","-1.6","0.6","-3.2","29.9","38","9"
"Adell, Jo","666176","2026","-3","37.3","-0.6","-1.4","0.2","-1.9","31.7","51","19"
"Alexander, Blaze","677942","2026","-2","15.4","-0.6","1.1","-1.3","-0.8","33.2","13","2"
"Antonacci, Sam","803011","2026","-4","43.6","-0.3","-0.8","0.3","-0.8","32.9","39","17"
"Arozarena, Randy","668227","2026","-7","39.1","-2.1","-0.5","0.1","-2.5","30.4","46","18"
"Bader, Harrison","664056","2026","0","58.3","1.1","-1.3","0.8","0.6","36","12","7"
"Barrosa, Jorge","678489","2026","4","66.7","1.5","1.8","-0.3","3","37.1","24","16"
"Beavers, Dylan","687637","2026","-5","36.4","-0.9","-0.9","-0.5","-2.3","30.8","33","12"
"Beck, Jordan","687597","2026","0","50","0.5","0.3","0.2","1.1","34","12","6"
"Bellinger, Cody","641355","2026","3","65.6","1.8","-0.1","0.7","2.4","35.2","32","21"
"Benge, Carson","701807","2026","0","40.5","0.7","0.8","-0.5","1","35.3","84","34"
"Bericoto, Victor","682674","2026","-2","37.5","-0.2","-0.2","0.5","0.1","34","16","6"
"Bleday, JJ","668709","2026","-1","39.5","0.7","-0.5","0.8","1","34.6","38","15"
"Bolte, Henry","703607","2026","4","61.5","1.1","0.3","-0.2","1.2","36.2","52","32"
"Bowen, Jase","687749","2026","0","45.5","0.2","0.6","-1.5","-0.8","32.9","11","5"
"Butler, Lawrence","671732","2026","-7","27.9","-0.2","-0.5","0.4","-0.2","33.9","43","12"
"Buxton, Byron","621439","2026","1","54.5","-0.1","-1.6","0.7","-1.1","33.9","33","18"
"Caglianone, Jac","695506","2026","-4","36.8","-0.7","-1.3","0","-2","31.8","38","14"
"Caissie, Owen","683357","2026","-3","48.7","0.2","0.5","0.2","0.9","33.9","39","19"
"Call, Alex","669743","2026","1","60","0","1.2","-0.2","1.1","35.3","10","6"
"Canzone, Dominic","686527","2026","0","60","-0.5","-0.9","1.1","-0.4","32.4","10","6"
"Carpenter, Kerry","681481","2026","-6","24","-0.2","-0.8","0.2","-0.8","31.6","25","6"
"Carrigg, Cole","694249","2026","3","56.4","1.4","0.3","0.3","2","36.4","39","22"
"Carroll, Corbin","682998","2026","11","62.2","0.9","1.5","-0.7","1.7","35.2","74","46"
"Carter, Evan","694497","2026","6","72.9","0.8","-0.2","0.2","0.8","35.7","48","35"
"Castellanos, Nick","592206","2026","-3","8.3","-2.2","0.1","0","-2.1","32","12","1"
"Chourio, Jackson","694192","2026","3","57.6","1.4","1.5","0","2.9","37.2","33","19"
"Church, Nathan","701675","2026","3","54.5","0.5","0.1","0.5","1.1","35.5","44","24"
"Clarke, Denzel","672016","2026","1","66.7","0.2","-0.9","0.2","-0.5","33.8","12","8"
"Clemens, Kody","665019","2026","1","69.2","1.7","0.6","-1.3","1","34","13","9"
"Collins, Isaac","686555","2026","-3","30","0.4","1.5","-2.1","-0.2","33.6","50","15"
"Conforto, Michael","624424","2026","-2","31.3","-0.5","-0.2","0.4","-0.2","34","16","5"
"Conine, Griffin","665052","2026","-2","23.1","-0.4","0.2","-0.6","-0.8","32.8","13","3"
"Cortes, Carlos","666126","2026","-7","18.2","-1.2","0.6","-0.1","-0.7","33.2","22","4"
"Cowser, Colton","681297","2026","5","65","1.3","1.4","-1.3","1.4","36.1","40","26"
"Cox, Jonah","813841","2026","2","72.7","2.6","0.2","0.1","2.9","36.1","11","8"
"Crawford, Justin","702222","2026","-1","41.7","-0.3","-1.5","0.3","-1.5","33.3","36","15"
"Crews, Dylan","686611","2026","3","54.3","0.4","1.1","0","1.5","35","35","19"
"Crow-Armstrong, Pete","691718","2026","20","81.4","2.6","1.9","0","4.6","39.2","70","57"
"Cruz, Oneil","665833","2026","0","50","-0.8","0.2","0","-0.6","34.2","28","14"
"DeLauter, Chase","800050","2026","0","50","1.2","0.4","0.8","2.4","35.5","30","15"
"DeLuca, Jonny","676356","2026","5","61.9","1.1","1.3","-0.7","1.7","35.6","42","26"
"Domínguez, Jasson","691176","2026","0","54.5","0.2","0.1","-0.6","-0.3","32.7","11","6"
"Doyle, Brenton","686668","2026","-1","55.6","0.5","-0.3","0.2","0.5","34.6","18","10"
"Dubón, Mauricio","643289","2026","1","56","0.3","0.1","0.2","0.6","34.6","25","14"
"Dunn, Blake","694362","2026","2","65","1.3","-0.1","0.6","1.8","36","20","13"
"Duran, Jarren","680776","2026","3","47.2","0.7","-0.9","0.8","0.5","34.5","53","25"
"Ewing, A.J.","805999","2026","7","72.5","1.4","0.8","-0.3","1.9","36.4","40","29"
"Fermín, José","665877","2026","-2","20","-1.6","0.4","0.1","-1.1","32.7","15","3"
"Freeman, Tyler","671289","2026","-7","25.9","-0.6","-0.8","0.1","-1.2","31.9","27","7"
"Frelick, Sal","686217","2026","-2","40","-0.1","-0.7","-0.4","-1.2","32.4","40","16"
"Friedl, TJ","670770","2026","3","70","0.1","2","-0.8","1.3","35.7","30","21"
"García, Adolis","666969","2026","3","57.9","0.3","0.6","-0.1","0.8","34.9","19","11"
"Gelof, Zack","680869","2026","1","45.5","1.2","2","-0.1","3.1","37.7","11","5"
"Gilbert, Drew","687551","2026","3","52.5","1.3","1.9","-0.4","2.8","37.2","40","21"
"Greene, Riley","682985","2026","2","52.9","-0.1","0","0.3","0.2","33","34","18"
"Grichuk, Randal","545341","2026","0","57.1","-0.6","1.3","-0.9","-0.2","32.9","14","8"
"Grisham, Trent","663757","2026","-1","45.7","0.1","2.4","-1.6","1","35.9","35","16"
"Gurriel Jr., Lourdes","666971","2026","-3","30.8","-1.5","0.6","0.2","-0.7","32","13","4"
"Halpin, Petey","690984","2026","0","58.8","0.3","-1","0.9","0.2","34.2","17","10"
"Happ, Ian","664023","2026","-3","34.3","0.2","0.7","-0.1","0.8","34.5","70","24"
"Harris II, Michael","671739","2026","9","73.7","0.8","1.8","-0.7","1.9","36.6","57","42"
"Hernández, Heriberto","681715","2026","1","44.1","1.4","0.7","-0.2","1.9","36.5","34","15"
"Hernández, Teoscar","606192","2026","-5","38.7","-1.4","-1.9","1","-2.4","31.1","31","12"
"Hill, Derek","656537","2026","3","72.7","-0.3","0.8","0","0.5","34.9","22","16"
"Isbel, Kyle","664728","2026","6","63.9","1.6","2.2","-1.2","2.6","37.6","36","23"
"Johnston, Troy","687859","2026","-1","38.2","-1.6","4.8","-3.9","-0.7","32.4","34","13"
"Jones, Spencer","682987","2026","-2","38.5","-1.4","-0.5","-0.1","-2","31","13","5"
"Judge, Aaron","592450","2026","-2","38.9","-0.4","0.5","-1.3","-1.2","31.3","18","7"
"Keaschall, Luke","807712","2026","-2","36.4","-0.2","-0.6","0.7","-0.1","33.4","22","8"
"Kepler, Max","596146","2026","1","50","0.6","-0.4","1","1.2","34.8","14","7"
"Kwan, Steven","680757","2026","5","63","0.3","-1.1","1","0.3","34.4","54","34"
"Langford, Wyatt","694671","2026","1","39.5","1.9","1.2","0.2","3.3","37.9","38","15"
"Lara, Luis","800325","2026","0","72.7","0.9","-0.3","0.6","1.2","35.4","11","8"
"Larnach, Trevor","663616","2026","-2","43.1","-1.8","-1","0.9","-1.9","31.9","51","22"
"Laureano, Ramón","657656","2026","1","45.8","0.7","0.3","0.5","1.5","35.1","24","11"
"Lawlar, Jordan","691783","2026","1","50","1.2","-0.2","-0.1","0.9","34.8","10","5"
"Lee, Jung Hoo","808982","2026","-4","41.8","0","0.4","0","0.3","33.6","67","28"
"Lile, Daylen","695734","2026","-1","34.7","0.4","-0.7","0.4","0.1","34.4","49","17"
"Lockridge, Brandon","663604","2026","0","41.7","-1","-0.9","0.1","-1.8","32.4","12","5"
"Loperfido, Joey","694388","2026","1","40","0.4","-2.1","1.2","-0.5","33.1","10","4"
"Lowe, Josh","666139","2026","1","43.5","0.1","-0.4","0.6","0.2","34.9","23","10"
"Lukes, Nathan","664770","2026","1","50","-0.7","-0.2","0.4","-0.5","33","36","18"
"Malgeri, Ben","701162","2026","1","70","-1","0.9","0.3","0.1","33.4","10","7"
"Mangum, Jake","663968","2026","0","50","1","0","0.3","1.3","35.5","52","26"
"Marsee, Jakob","805300","2026","6","57.4","0.4","1.7","-1.3","0.9","35.4","54","31"
"Marsh, Brandon","669016","2026","-4","43.1","0","-1","0.6","-0.4","32.5","51","22"
"Marte, Noelvi","682622","2026","-5","27.3","-0.8","1.1","-1","-0.8","33.7","22","6"
"Marte, Starling","516782","2026","0","33.3","-2.2","-0.2","0.5","-1.9","31.1","18","6"
"Martin, Austin","668885","2026","2","48.7","0.6","-0.5","0.6","0.7","34.1","39","19"
