"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Acuña Jr., Ronald","660670","2021","1","42.3","1.1","-0.2","0","0.8","32.4","26","11"
"Adell, Jo","666176","2021","1","31.8","0","-1.3","0.5","-0.9","32.5","22","7"
"Akiyama, Shogo","673451","2021","1","52.6","-0.6","-1.1","0.4","-1.2","32.8","19","10"
"Alford, Anthony","546990","2021","3","46.7","2.2","-0.1","0.6","2.6","34.7","15","7"
"Almonte, Abraham","501659","2021","-2","16.7","1.1","1.1","-0.8","1.3","32.3","12","2"
"Alvarez, Yordan","670541","2021","-1","35","-0.4","-0.8","0.8","-0.4","30.8","20","7"
"Andujar, Miguel","609280","2021","-2","25","0.3","1.3","-1.1","0.5","32","16","4"
"Aquino, Aristides","606157","2021","-2","33.3","0.8","0","0.5","1.3","32.7","27","9"
"Arozarena, Randy","668227","2021","-1","47.9","-1.1","0.3","-0.3","-1.1","30.8","48","23"
"Arraez, Luis","650333","2021","-2","41.7","-1.2","0.3","-0.2","-1.1","31.4","12","5"
"Baddoo, Akil","668731","2021","-2","41.1","-0.1","-0.5","0.6","-0.1","32.6","56","23"
"Bader, Harrison","664056","2021","10","66.7","1.9","-0.2","-0.3","1.4","35.3","57","38"
"Bauers, Jake","641343","2021","0","37.5","0.9","-0.6","0.4","0.7","32","16","6"
"Beaty, Matt","607461","2021","-5","7.1","-3.7","-1","-1.1","-5.5","27.1","14","1"
"Bellinger, Cody","641355","2021","0","46.2","0.6","-0.4","0.3","0.5","34.2","39","18"
"Benintendi, Andrew","643217","2021","-1","45.6","-0.2","-0.5","0.3","-0.4","32","68","31"
"Betts, Mookie","605141","2021","0","48.2","0","0.5","-0.3","0.2","32.4","56","27"
"Blackmon, Charlie","453568","2021","-10","27.3","-1.1","-1.5","0.8","-1.9","30","55","15"
"Bolt, Skye","621450","2021","1","66.7","-0.3","0.3","-0.2","-0.2","33.5","12","8"
"Bradley Jr., Jackie","598265","2021","0","50","0.3","2.5","-1.6","1.2","34.1","42","21"
"Brantley, Michael","488726","2021","-3","35.1","-0.9","-0.4","0.3","-1","30.6","37","13"
"Brinson, Lewis","621446","2021","1","46.4","0.2","-0.1","-0.1","0","33.3","28","13"
"Brown, Seth","664913","2021","3","55.2","-0.2","1.1","0","0.9","34.1","29","16"
"Bryant, Kris","592178","2021","-3","32.3","-1.4","0","0.1","-1.4","30.9","31","10"
"Buxton, Byron","621439","2021","5","71","0.2","-0.5","0.1","-0.2","33.9","31","22"
