"last_name, first_name","resp_fielder_id","year","outs_above_average","outs_per_play","rel_league_burst_distance","rel_league_reaction_distance","rel_league_routing_distance","rel_league_bootup_distance","f_bootup_distance","n","n_outs"
"Acuña Jr., Ronald","660670","2019","2","47.1","0.1","-0.5","0.3","-0.2","32.9","68","32"
"Allen, Greg","656185","2019","3","51.9","1.6","0.9","-0.8","1.7","33.9","27","14"
"Almora Jr., Albert","546991","2019","4","52.7","1.1","1.1","-0.4","1.8","35.2","55","29"
"Anderson, Brian","605119","2019","-2","26.1","-0.6","-0.2","0.1","-0.7","31.6","23","6"
"Aquino, Aristides","606157","2019","3","64","0.9","0.4","0.2","1.4","32.5","25","16"
"Arraez, Luis","650333","2019","-3","40","-3.2","-1.3","1","-3.5","28.6","10","4"
"Bader, Harrison","664056","2019","11","67.9","2.4","0.4","-0.4","2.4","35.7","53","36"
"Bauers, Jake","641343","2019","-4","33.3","-2.1","-0.7","0.5","-2.2","30.6","21","7"
"Beaty, Matt","607461","2019","-2","18.2","-2.3","0.1","-0.5","-2.7","29.1","11","2"
"Bellinger, Cody","641355","2019","7","62.5","1.3","0.5","-0.2","1.6","33.9","56","35"
"Benintendi, Andrew","643217","2019","-5","20.8","-0.6","-1","0.9","-0.7","31.1","48","10"
"Berti, Jon","542932","2019","-2","50","0.1","-1","0.5","-0.5","32.8","20","10"
"Betts, Mookie","605141","2019","3","54.4","0.3","0","0.4","0.7","33.4","79","43"
"Blackmon, Charlie","453568","2019","-9","37.7","-1.2","-1.3","0.3","-2.1","30.2","69","26"
"Bradley Jr., Jackie","598265","2019","6","56.9","0.5","2.8","-2.2","1.1","34.7","65","37"
"Brantley, Michael","488726","2019","-2","32.1","-0.9","0.5","0","-0.5","31.8","53","17"
"Braun, Ryan","460075","2019","-5","44.4","-1.3","1.7","-0.8","-0.5","32.5","45","20"
"Brinson, Lewis","621446","2019","1","41.7","0.3","-0.9","0.3","-0.3","33.1","24","10"
"Broxton, Keon","542979","2019","7","71.1","1.4","0.6","-0.1","1.8","35.2","38","27"
"Bruce, Jay","457803","2019","1","47.6","-0.5","1","-0.2","0.3","32.7","21","10"
"Buxton, Byron","621439","2019","9","66","0.5","-0.5","0.5","0.5","33.6","47","31"
"Cabrera, Melky","466320","2019","-5","24.2","-2.6","-1.8","0.9","-3.5","28.3","33","8"
"Cain, Lorenzo","456715","2019","13","62","1.1","0.7","-0.3","1.4","34.9","79","49"
"Calhoun, Kole","594777","2019","0","44","-0.5","0.7","-0.7","-0.6","32","91","40"
"Calhoun, Willie","641432","2019","-3","30","-1.2","0.2","-1","-2","29.6","20","6"
"Canha, Mark","592192","2019","-2","52.7","-0.8","0.5","-0.5","-0.8","32.4","55","29"
"Castellanos, Nick","592206","2019","-4","38.1","-1.3","0.2","-0.5","-1.7","30.7","63","24"
"Castro, Harold","605612","2019","2","55.6","0.4","-0.3","0.1","0.2","33.9","18","10"
"Cave, Jake","595909","2019","4","60","0.8","0.7","-0.3","1.1","33.4","30","18"
"Choo, Shin-Soo","425783","2019","-8","33.3","-1.9","-1.5","0.5","-2.8","29.5","45","15"
"Conforto, Michael","624424","2019","2","48.4","0.4","1.2","-1.6","-0.1","32.3","91","44"
"Cooper, Garrett","643265","2019","-1","41.2","-1.3","-0.1","-0.3","-1.6","31","17","7"
"Cordell, Ryan","641477","2019","6","56.1","1.4","1.2","-0.5","2.1","34.6","41","23"
"Dahl, David","621311","2019","1","44.2","0.9","-0.9","0.7","0.6","33.3","52","23"
"Davis, J.D.","605204","2019","-5","21.4","-0.9","-0.9","0.9","-1","31.1","28","6"
"Davis, Jonathan","641505","2019","4","73.3","0.9","0","0.6","1.4","35.3","15","11"
"Daza, Yonathan","602074","2019","1","61.5","0.3","1.5","-0.6","1.2","34.2","13","8"
"DeShields, Delino","592261","2019","10","65.1","1.4","-0.9","0.5","1","34.3","63","41"
"Dean, Austin","621573","2019","-4","25","-2.5","-1.1","0.1","-3.5","29.3","20","5"
"Delmonico, Nicky","547170","2019","-1","40","0.4","0.2","0.9","1.5","34.7","10","4"
"Demeritte, Travis","641513","2019","-3","38.7","-1","-0.1","0.3","-0.8","31.4","31","12"
"Desmond, Ian","435622","2019","-5","35.3","0","-1.3","0.6","-0.7","31.8","51","18"
"Dickerson, Alex","543105","2019","0","50","-1.5","0.1","-1","-2.5","29.8","12","6"
"Dickerson, Corey","572816","2019","0","50","0.3","0.7","0.7","1.6","32.5","32","16"
"Dixon, Brandon","641525","2019","0","33.3","-1","-1.7","0.8","-1.9","30.9","12","4"
"Dozier, Hunter","641531","2019","-1","33.3","-1.1","-1.7","0","-2.8","29.7","12","4"
"Duggar, Steven","621453","2019","3","62.9","0.3","0.6","-0.8","0.1","33.3","35","22"
"Duvall, Adam","594807","2019","0","46.7","-0.4","-1.1","0.3","-1.2","32.4","15","7"
"Dyson, Jarrod","502481","2019","4","55.4","1.4","0.6","-0.6","1.4","34.4","56","31"
"Eaton, Adam","594809","2019","-1","46.2","0.1","1.1","-0.9","0.4","32.8","93","43"
"Engel, Adam","641553","2019","5","60.6","2","-0.9","0.7","1.8","35.2","33","20"
"Ervin, Phillip","640447","2019","3","64.3","0.9","1.4","-0.5","1.8","34.2","28","18"
"Fisher, Derek","605233","2019","0","40.9","0.2","-0.9","0.5","-0.2","30.3","22","9"
"Fletcher, David","664058","2019","2","58.3","1.7","2.2","-0.6","3.4","36.2","12","7"
"Fowler, Dexter","451594","2019","-4","36.7","-0.9","-0.9","-0.1","-2","30.7","60","22"
"Frazier, Clint","640449","2019","-9","17.9","0.3","-1.1","0.8","0","32.7","28","5"
