post_id,record_id,handle,url,published_at,text,source_type,game,edition,player,canonical_player_id,current_100,event_id,independence_group
1659182055694151680,tierb_1659182055694151680,prospiA_PR,https://x.com/prospiA_PR/status/1659182055694151680,2023-05-18T13:00:02Z,プロスピA ドリームマッチ＠巨人 見どころ。③岡本選手が不満気なのは自身の走力と…？,tier_b_context_official_post,,,岡本和真,,0,x:1659182055694151680:name:岡本和真:rating,x:1659182055694151680:name:岡本和真
1663470303425568768,tierb_1663470303425568768,prospiA_PR,https://x.com/prospiA_PR/status/1663470303425568768,2023-05-30T09:00:00Z,エキサイティングプレイヤーセレクション第1弾 登場選手紹介。塩見選手の長所は？パンチ力・走力,tier_b_context_official_post,,,塩見 泰隆,71975136,1,x:1663470303425568768:71975136:noise,x:1663470303425568768:71975136
1760312379064328308,X-V3-1760312379064328308-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1760312379064328308,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1760312379064328308:unresolved:noise,x:1760312379064328308:unresolved
1777896786448781436,X-V3-1777896786448781436-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1777896786448781436,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1777896786448781436:unresolved:noise,x:1777896786448781436:unresolved
1782242931358957693,X-V3-1782242931358957693-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1782242931358957693,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1782242931358957693:unresolved:noise,x:1782242931358957693:unresolved
1785869319693377860,X-V3-1785869319693377860-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1785869319693377860,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1785869319693377860:unresolved:noise,x:1785869319693377860:unresolved
1786304693234540595,X-V3-1786304693234540595-none,eBASEBALL_Pro,https://x.com/eBASEBALL_Pro/status/1786304693234540595,,,OFFICIAL_X_POST,WBSC PowerPro,WBSC eBaseball,,,0,x:1786304693234540595:unresolved:noise,x:1786304693234540595:unresolved
1794926500413849919,X-V3-1794926500413849919-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1794926500413849919,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1794926500413849919:unresolved:noise,x:1794926500413849919:unresolved
1807700679391355159,X-V3-1807700679391355159-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1807700679391355159,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1807700679391355159:unresolved:noise,x:1807700679391355159:unresolved
1810889181343654025,X-V3-1810889181343654025-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1810889181343654025,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1810889181343654025:unresolved:noise,x:1810889181343654025:unresolved
1810891698005799240,X-V3-1810891698005799240-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1810891698005799240,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1810891698005799240:unresolved:noise,x:1810891698005799240:unresolved
1811597599960629734,X-V3-1811597599960629734-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1811597599960629734,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1811597599960629734:unresolved:noise,x:1811597599960629734:unresolved
1813740475095855544,X-V3-1813740475095855544-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1813740475095855544,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1813740475095855544:unresolved:noise,x:1813740475095855544:unresolved
1816745275257459055,X-V3-1816745275257459055-none,eBASEBALL_Pro,https://x.com/eBASEBALL_Pro/status/1816745275257459055,,,OFFICIAL_X_POST,WBSC PowerPro,WBSC eBaseball,,,0,x:1816745275257459055:unresolved:noise,x:1816745275257459055:unresolved
1818892380705374633,X-V3-1818892380705374633-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1818892380705374633,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1818892380705374633:unresolved:noise,x:1818892380705374633:unresolved
1826476529792008459,X-V3-1826476529792008459-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1826476529792008459,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1826476529792008459:unresolved:noise,x:1826476529792008459:unresolved
1839170543792304490,X-V3-1839170543792304490-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1839170543792304490,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1839170543792304490:unresolved:noise,x:1839170543792304490:unresolved
1845806493079052304,post_1845806493079052304,prospiA_PR,https://x.com/prospiA_PR/status/1845806493079052304,2024-10-14T12:38:56Z,速報。2023 WORLD BASEBALL CLASSIC™の #大谷翔平 選手が 10/24(木)から新能力で登場するよ,official_post,ProspiA,プロスピA9周年 WBC大谷,大谷翔平,,0,x:1845806493079052304:name:大谷翔平:noise,x:1845806493079052304:name:大谷翔平
1848191472853717239,X-V3-1848191472853717239-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1848191472853717239,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1848191472853717239:unresolved:noise,x:1848191472853717239:unresolved
1848241181119201705,X-V3-1848241181119201705-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1848241181119201705,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1848241181119201705:unresolved:noise,x:1848241181119201705:unresolved
1848333844665233748,post_1848333844665233748,prospiA_PR,https://x.com/prospiA_PR/status/1848333844665233748,2024-10-21T12:01:43Z,大谷翔平登場記念特別企画本日公開。#大谷翔平 #源田壮亮 #髙橋宏斗 にインタビュー。ついに新しい大谷選手の詳細も紹介。どんな能力なのか、ぜひ動画を見てね,official_post,ProspiA,プロスピA9周年 WBC大谷,大谷翔平,,0,x:1848333844665233748:name:大谷翔平:noise,x:1848333844665233748:name:大谷翔平
1848669528852697494,post_1848669528852697494,prospiA_PR,https://x.com/prospiA_PR/status/1848669528852697494,2024-10-22T10:15:36Z,当動画で公開いたしました「大谷翔平選手(投手)」の能力について、誤りがございました。①球威・制球・スタミナの数値に誤りがある。正しくは球威86・制球77・スタミナ83,official_post,ProspiA,プロスピA9周年 WBC大谷,大谷翔平,,0,x:1848669528852697494:name:大谷翔平:noise,x:1848669528852697494:name:大谷翔平
1848670006067777973,post_1848670006067777973,prospiA_PR,https://x.com/prospiA_PR/status/1848670006067777973,2024-10-22T10:17:30Z,②特殊能力「規格外(投手)」の情報に誤りがある,official_post,ProspiA,プロスピA9周年 WBC大谷,大谷翔平,,0,x:1848670006067777973:name:大谷翔平:noise,x:1848670006067777973:name:大谷翔平
1848670329427923426,post_1848670329427923426,prospiA_PR,https://x.com/prospiA_PR/status/1848670329427923426,2024-10-22T10:18:47Z,③特殊能力「規格外(投手)」の発動時演出及び効果に誤りがある。Ver19.0.0公開時には修正,official_post,ProspiA,プロスピA9周年 WBC大谷,大谷翔平,,0,x:1848670329427923426:name:大谷翔平:noise,x:1848670329427923426:name:大谷翔平
1849964196521443722,post_1849964196521443722,prospiA_PR,https://x.com/prospiA_PR/status/1849964196521443722,2024-10-26T00:00:09Z,#大谷翔平 選手の大注目ポイント①。2023 WORLD BASEBALL CLASSIC™の大谷翔平選手が投打で登場。新しくなった能力に大注目。打者大谷選手は過去最高のパワーを持っているよ,official_post,ProspiA,プロスピA9周年 WBC大谷,大谷翔平,,0,x:1849964196521443722:name:大谷翔平:noise,x:1849964196521443722:name:大谷翔平
1851556404223774776,X-V3-1851556404223774776-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1851556404223774776,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1851556404223774776:unresolved:noise,x:1851556404223774776:unresolved
1859054053457596463,X-V3-1859054053457596463-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1859054053457596463,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1859054053457596463:unresolved:noise,x:1859054053457596463:unresolved
1859507042500694108,post_1859507042500694108,prospiA_PR,https://x.com/prospiA_PR/status/1859507042500694108,2024-11-21T08:00:01Z,2024 Series2 OB第3弾登場。阪神 #吉田義男 選手や福岡ソフトバンク #広瀬叔功 選手が登場しているよ,official_post,ProspiA,2024 Series2 OB第3弾,吉田義男,,0,x:1859507042500694108:name:吉田義男:noise,x:1859507042500694108:name:吉田義男
1861220831545700491,X-V3-1861220831545700491-none,pawapuro_pro,https://x.com/pawapuro_pro/status/1861220831545700491,,,OFFICIAL_X_POST,PowerPro,2024-2025,,,0,x:1861220831545700491:unresolved:noise,x:1861220831545700491:unresolved
1871133659102863439,post_1871133659102863439,prospiA_PR,https://x.com/prospiA_PR/status/1871133659102863439,2024-12-23T10:00:02Z,【緊急告知】「古田・里崎セレクション」開催決定。#古田敦也 さん #里崎智也 さんが選んだ選手が登場する特別なスカウト。明日から1日ごとに情報公開番組を配信,official_post,ProspiA,2024 Series2 古田・里崎セレクション,古田敦也,,0,x:1871133659102863439:name:古田敦也:noise,x:1871133659102863439:name:古田敦也
1871496037879419320,post_1871496037879419320,prospiA_PR,https://x.com/prospiA_PR/status/1871496037879419320,2024-12-24T10:00:00Z,#古田・里崎セレクション 選手発表 セ・リーグ編。3日間に渡って登場選手情報を公開するよ,official_post,ProspiA,2024 Series2 古田・里崎セレクション,古田敦也,,0,x:1871496037879419320:name:古田敦也:noise,x:1871496037879419320:name:古田敦也
1871858432657260600,post_1871858432657260600,prospiA_PR,https://x.com/prospiA_PR/status/1871858432657260600,2024-12-25T10:00:02Z,古田・里崎セレクション 選手発表 パ・リーグ編。明日は能力値を発表するよ,official_post,ProspiA,2024 Series2 古田・里崎セレクション,古田敦也,,0,x:1871858432657260600:name:古田敦也:noise,x:1871858432657260600:name:古田敦也
