record_id,old_source_id,player,canonical_player_id,source_url,text,old_rejection_reason,previous_reclassification_status,bucket,labels,independence,reason,excluded_because_game_rating_mention,event_id,origin_count,reaction_volume
"SP032-RUN2-GXSR001","","カリステ","93795157","https://x.com/kawasemi501/status/1870797395510087861","","MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP","NOT_RECLASSIFIABLE_INSUFFICIENT","NOISE_OR_UNRELATED","JOKE_OR_NOISE","NOT_AN_ORIGIN","投稿本文が台帳に残っていない。証拠が無いのではなくソース不完全。ゲーム査定言及を理由にはしていない。","false","1870797395510087861","0","1"
"SP032-RUN2-GXSR003","","カリステ","93795157","https://x.com/jpxneezd/status/2035030093240967369","カリステみたいな内外野全ポジション守れる俊足巧打タイプの助っ人はNPBでは珍しいですか。","QUESTION_FORM_NOT_DIRECT_PHYSICAL_SPEED_CLAIM","RETAINED_NOT_DIRECTIONAL","WEAK_PHYSICAL_OR_CONTEXT","GENERIC_FAST","ORIGIN","俊足/鈍足/衰え等の弱い方向証拠。数値教師にはしない。","false","2035030093240967369","1","1"
"SP032-RUN2-GXSR004","","カリステ","93795157","https://x.com/NoKick/status/2038966073568154036","中日はなんで俊足好守の二塁手みたいな打撃成績しか、残してない助っ人と契約してるの？カリステのことだけど　#dragons","GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE","RECLASSIFIED_TO_WEAK_CONTEXT_LANE","WEAK_PHYSICAL_OR_CONTEXT","GENERIC_FAST","ORIGIN","俊足/鈍足/衰え等の弱い方向証拠。数値教師にはしない。","false","2038966073568154036","1","1"
"SP032-RUN2-GXSR005","","塩見 泰隆","71975136","https://x.com/yutakah2/status/1774791555674751464","塩見泰隆　イノシシ並みの脚力","GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE","RETAINED_NOT_DIRECTIONAL","WEAK_PHYSICAL_OR_CONTEXT","GENERIC_FAST","ORIGIN","俊足/鈍足/衰え等の弱い方向証拠。数値教師にはしない。","false","1774791555674751464","1","1"
"SP032-RUN2-GXSR006","","塩見 泰隆","71975136","https://x.com/zanshin5439/status/1789576660419027362","","MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP","NOT_RECLASSIFIABLE_INSUFFICIENT","NOISE_OR_UNRELATED","JOKE_OR_NOISE","NOT_AN_ORIGIN","投稿本文が台帳に残っていない。証拠が無いのではなくソース不完全。ゲーム査定言及を理由にはしていない。","false","1789576660419027362","0","1"
"SP032-RUN2-GXSR007","","塩見 泰隆","71975136","https://x.com/hoshunodaryoku/status/1844874767167533273","","MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP","NOT_RECLASSIFIABLE_INSUFFICIENT","NOISE_OR_UNRELATED","JOKE_OR_NOISE","NOT_AN_ORIGIN","投稿本文が台帳に残っていない。証拠が無いのではなくソース不完全。ゲーム査定言及を理由にはしていない。","false","1844874767167533273","0","1"
"SP032-RUN2-GXSR008","","塩見 泰隆","71975136","https://x.com/swa39chacha/status/1857932605469110395","","MISSING_VERIFIABLE_POST_TEXT_OR_TIMESTAMP","NOT_RECLASSIFIABLE_INSUFFICIENT","NOISE_OR_UNRELATED","JOKE_OR_NOISE","NOT_AN_ORIGIN","投稿本文が台帳に残っていない。証拠が無いのではなくソース不完全。ゲーム査定言及を理由にはしていない。","false","1857932605469110395","0","1"
"SP032-RUN2-GXSR009","","塩見 泰隆","71975136","https://x.com/TsubameZoku/status/1896682767947370912","そして、本日より塩見泰隆が1軍に復帰予定。あの快足好打が炸裂するか見ものです🐎","NO_CLEAR_DIRECT_PHYSICAL_SPEED_CLAIM","RECLASSIFIED_TO_WEAK_CONTEXT_LANE","WEAK_PHYSICAL_OR_CONTEXT","GENERIC_FAST","ORIGIN","俊足/鈍足/衰え等の弱い方向証拠。数値教師にはしない。","false","1896682767947370912","1","1"
"SP032-RUN2-GXSR010","","塩見 泰隆","71975136","https://x.com/epachinko/status/1918305639656505507","足の速い外野手
 塩見泰隆・周東佑京","GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE","RETAINED_NOT_DIRECTIONAL","WEAK_PHYSICAL_OR_CONTEXT","GENERIC_FAST","ORIGIN","俊足/鈍足/衰え等の弱い方向証拠。数値教師にはしない。","false","1918305639656505507","1","1"
"SP032-RUN2-GXSR011","","塩見 泰隆","71975136","https://x.com/webSportiva/status/1957404644805841126","実力派芸人が語る先輩・塩見泰隆の「バケモノ」ぶり…「足も速いし、肩も強い。…」","GENERIC_OR_AMBIGUOUS_SPEED_LABEL_NOT_SUFFICIENT_FOR_ACCEPTANCE","RETAINED_NOT_DIRECTIONAL","WEAK_PHYSICAL_OR_CONTEXT","GENERIC_FAST","ORIGIN","俊足/鈍足/衰え等の弱い方向証拠。数値教師にはしない。","false","1957404644805841126","1","1"
