year,metric,n,r_stat_outcome,r_npb_outcome,r_npb_stat,partial_npb
2022,triple,53,0.3082940416039698,0.4233966593412719,0.4435700221275088,0.33620894604579316
2022,gdpAvoid,53,0.36110439817601575,0.515810038907158,0.4435700221275088,0.42551961387947285
2022,infieldHit,53,0.2854055766798218,0.6510294024384895,0.4435700221275088,0.610541419652821
2022,advance,31,0.6822511186503949,0.519913255738816,0.7087205563727005,0.07054702218256703
2022,ubr,53,0.2745864774755733,0.47653359770053877,0.4435700221275088,0.41162591031687235
2023,triple,64,0.47911168415737004,0.43747582098933696,0.6363919087315897,0.19580416816867918
2023,gdpAvoid,64,0.20880132639432264,0.34737010775863075,0.6363919087315897,0.2843332575953271
2023,infieldHit,64,0.5072694624093076,0.43493890147835734,0.6363919087315897,0.16865909407142496
2023,advance,37,0.16493857564834957,0.3433048540076139,0.6997475182525168,0.32342833945807836
2023,ubr,64,0.36887553119322364,0.5829050781741426,0.6363919087315897,0.4855942749874956
2024,triple,81,0.161734311166766,0.3693037725803381,0.5923520310913405,0.34399417708794877
2024,gdpAvoid,81,0.4694507405171934,0.45727557268307495,0.5923520310913405,0.2518978595228083
2024,infieldHit,81,0.29233779969020646,0.4386262844838675,0.5923520310913405,0.34453622668096967
2024,advance,46,0.4489294344039513,0.3316115252843302,0.5556766891294387,0.11058117101726322
2024,ubr,81,0.43790578912814637,0.4695564685456464,0.5923520310913405,0.29014989078946496
2025,triple,79,0.4893733485938122,0.2903257504938956,0.65544846530326,-0.0462072388934742
2025,gdpAvoid,79,0.4736591642534616,0.4653066827177661,0.65544846530326,0.23280228719338672
2025,infieldHit,79,0.4761644593324328,0.5512020620218465,0.65544846530326,0.3600238282090086
2025,advance,36,0.633999072801097,0.4864075261166024,0.6827676348514573,0.09474529445940458
2025,ubr,79,0.3855002602089495,0.5082121570993988,0.65544846530326,0.36669419328599795
