canonical_player_id,player,team,age,age_at_rating,date,previous_speed,new_speed,change,abs_speed_change,days_since_previous,days_since_previous_rating,game_title,work,version,rating_reference_season,source_url,official_update_url
proeye:43345132,ギャレット,読売ジャイアンツ,,,2016-04-28,35,41,6,6,0,0,実況パワフルプロ野球2016,2016,1.01,2016,https://www.baseless.org/data/source/2016/dat_G_1_01.html,https://www.konami.com/pawa/2016/update/index.html
proeye:51153884,井口　資仁,千葉ロッテマリーンズ,,,2016-04-28,46,44,-2,2,0,0,実況パワフルプロ野球2016,2016,1.01,2016,https://www.baseless.org/data/source/2016/dat_M_1_01.html,https://www.konami.com/pawa/2016/update/index.html
proeye:21923889,福浦　和也,千葉ロッテマリーンズ,,,2016-04-28,35,30,-5,5,0,0,実況パワフルプロ野球2016,2016,1.01,2016,https://www.baseless.org/data/source/2016/dat_M_1_01.html,https://www.konami.com/pawa/2016/update/index.html
proeye:51455130,中村　奨吾,千葉ロッテマリーンズ,,,2016-04-28,67,69,2,2,0,0,実況パワフルプロ野球2016,2016,1.01,2016,https://www.baseless.org/data/source/2016/dat_M_1_01.html,https://www.konami.com/pawa/2016/update/index.html
proeye:81385118,岡田　幸文,千葉ロッテマリーンズ,,,2016-04-28,88,87,-1,1,0,0,実況パワフルプロ野球2016,2016,1.01,2016,https://www.baseless.org/data/source/2016/dat_M_1_01.html,https://www.konami.com/pawa/2016/update/index.html
proeye:03505139,Ａ．デスパイネ,千葉ロッテマリーンズ,,,2016-04-28,51,55,4,4,0,0,実況パワフルプロ野球2016,2016,1.01,2016,https://www.baseless.org/data/source/2016/dat_M_1_01.html,https://www.konami.com/pawa/2016/update/index.html
proeye:71475113,山崎　勝己,オリックス・バファローズ,,,2016-04-28,41,37,-4,4,0,0,実況パワフルプロ野球2016,2016,1.01,2016,https://www.baseless.org/data/source/2016/dat_OBU_1_01.html,https://www.konami.com/pawa/2016/update/index.html
proeye:23125118,Ｔ．ブランコ,オリックス・バファローズ,,,2016-04-28,42,39,-3,3,0,0,実況パワフルプロ野球2016,2016,1.01,2016,https://www.baseless.org/data/source/2016/dat_OBU_1_01.html,https://www.konami.com/pawa/2016/update/index.html
proeye:91995135,縞田　拓弥,オリックス・バファローズ,,,2016-04-28,72,75,3,3,0,0,実況パワフルプロ野球2016,2016,1.01,2016,https://www.baseless.org/data/source/2016/dat_OBU_1_01.html,https://www.konami.com/pawa/2016/update/index.html
proeye:43745132,Ｂ．ボグセビック,オリックス・バファローズ,,,2016-04-28,73,85,12,12,0,0,実況パワフルプロ野球2016,2016,1.01,2016,https://www.baseless.org/data/source/2016/dat_OBU_1_01.html,https://www.konami.com/pawa/2016/update/index.html
