stable_player_key,mlbam_id,npb_name,npb_name_en,mlb_name,season,league,game_type,regular_season_games,plate_appearances,source_url_or_endpoint,retrieval_date,payload_hash,identity_confidence,evidence_state
MLBAM:430945,430945,ジョーンズ,Adam Jones,Adam Jones,2006,MLB,R,32,76,https://statsapi.mlb.com/api/v1/people/430945/stats?stats=yearByYear&group=hitting&sportIds=1,2026-08-18,966d3960c029e52c2ef6d4dfb8c58174852ba40f2e1c16241417e5a8662fae28,CURATED_MLB_BRIDGE,VERIFIED_REGULAR_SEASON_APPEARANCE
MLBAM:430945,430945,ジョーンズ,Adam Jones,Adam Jones,2007,MLB,R,41,71,https://statsapi.mlb.com/api/v1/people/430945/stats?stats=yearByYear&group=hitting&sportIds=1,2026-08-18,966d3960c029e52c2ef6d4dfb8c58174852ba40f2e1c16241417e5a8662fae28,CURATED_MLB_BRIDGE,VERIFIED_REGULAR_SEASON_APPEARANCE
MLBAM:430945,430945,ジョーンズ,Adam Jones,Adam Jones,2008,MLB,R,132,514,https://statsapi.mlb.com/api/v1/people/430945/stats?stats=yearByYear&group=hitting&sportIds=1,2026-08-18,966d3960c029e52c2ef6d4dfb8c58174852ba40f2e1c16241417e5a8662fae28,CURATED_MLB_BRIDGE,VERIFIED_REGULAR_SEASON_APPEARANCE
MLBAM:430945,430945,ジョーンズ,Adam Jones,Adam Jones,2009,MLB,R,119,519,https://statsapi.mlb.com/api/v1/people/430945/stats?stats=yearByYear&group=hitting&sportIds=1,2026-08-18,966d3960c029e52c2ef6d4dfb8c58174852ba40f2e1c16241417e5a8662fae28,CURATED_MLB_BRIDGE,VERIFIED_REGULAR_SEASON_APPEARANCE
MLBAM:430945,430945,ジョーンズ,Adam Jones,Adam Jones,2010,MLB,R,149,621,https://statsapi.mlb.com/api/v1/people/430945/stats?stats=yearByYear&group=hitting&sportIds=1,2026-08-18,966d3960c029e52c2ef6d4dfb8c58174852ba40f2e1c16241417e5a8662fae28,CURATED_MLB_BRIDGE,VERIFIED_REGULAR_SEASON_APPEARANCE
MLBAM:430945,430945,ジョーンズ,Adam Jones,Adam Jones,2011,MLB,R,151,618,https://statsapi.mlb.com/api/v1/people/430945/stats?stats=yearByYear&group=hitting&sportIds=1,2026-08-18,966d3960c029e52c2ef6d4dfb8c58174852ba40f2e1c16241417e5a8662fae28,CURATED_MLB_BRIDGE,VERIFIED_REGULAR_SEASON_APPEARANCE
MLBAM:430945,430945,ジョーンズ,Adam Jones,Adam Jones,2012,MLB,R,162,697,https://statsapi.mlb.com/api/v1/people/430945/stats?stats=yearByYear&group=hitting&sportIds=1,2026-08-18,966d3960c029e52c2ef6d4dfb8c58174852ba40f2e1c16241417e5a8662fae28,CURATED_MLB_BRIDGE,VERIFIED_REGULAR_SEASON_APPEARANCE
MLBAM:430945,430945,ジョーンズ,Adam Jones,Adam Jones,2013,MLB,R,160,689,https://statsapi.mlb.com/api/v1/people/430945/stats?stats=yearByYear&group=hitting&sportIds=1,2026-08-18,966d3960c029e52c2ef6d4dfb8c58174852ba40f2e1c16241417e5a8662fae28,CURATED_MLB_BRIDGE,VERIFIED_REGULAR_SEASON_APPEARANCE
MLBAM:430945,430945,ジョーンズ,Adam Jones,Adam Jones,2014,MLB,R,159,682,https://statsapi.mlb.com/api/v1/people/430945/stats?stats=yearByYear&group=hitting&sportIds=1,2026-08-18,966d3960c029e52c2ef6d4dfb8c58174852ba40f2e1c16241417e5a8662fae28,CURATED_MLB_BRIDGE,VERIFIED_REGULAR_SEASON_APPEARANCE
MLBAM:430945,430945,ジョーンズ,Adam Jones,Adam Jones,2015,MLB,R,137,581,https://statsapi.mlb.com/api/v1/people/430945/stats?stats=yearByYear&group=hitting&sportIds=1,2026-08-18,966d3960c029e52c2ef6d4dfb8c58174852ba40f2e1c16241417e5a8662fae28,CURATED_MLB_BRIDGE,VERIFIED_REGULAR_SEASON_APPEARANCE
MLBAM:430945,430945,ジョーンズ,Adam Jones,Adam Jones,2016,MLB,R,152,672,https://statsapi.mlb.com/api/v1/people/430945/stats?stats=yearByYear&group=hitting&sportIds=1,2026-08-18,966d3960c029e52c2ef6d4dfb8c58174852ba40f2e1c16241417e5a8662fae28,CURATED_MLB_BRIDGE,VERIFIED_REGULAR_SEASON_APPEARANCE
MLBAM:430945,430945,ジョーンズ,Adam Jones,Adam Jones,2017,MLB,R,147,635,https://statsapi.mlb.com/api/v1/people/430945/stats?stats=yearByYear&group=hitting&sportIds=1,2026-08-18,966d3960c029e52c2ef6d4dfb8c58174852ba40f2e1c16241417e5a8662fae28,CURATED_MLB_BRIDGE,VERIFIED_REGULAR_SEASON_APPEARANCE
MLBAM:430945,430945,ジョーンズ,Adam Jones,Adam Jones,2018,MLB,R,145,613,https://statsapi.mlb.com/api/v1/people/430945/stats?stats=yearByYear&group=hitting&sportIds=1,2026-08-18,966d3960c029e52c2ef6d4dfb8c58174852ba40f2e1c16241417e5a8662fae28,CURATED_MLB_BRIDGE,VERIFIED_REGULAR_SEASON_APPEARANCE
