player_id,player,player_canonical,team,team_canonical,stage1_profile_status,stage1_profile_present,npb_plus_sprint_speed_kmh,blind_v3_match_status,blind_v3_baseline_raw,blind_v3_baseline_rounded,final_freeze_rating,final_freeze_decision_class,powerpro_match_status,powerpro_match_method,powerpro_candidate_count,powerpro_2026_roster_display_name,powerpro_2026_roster_normalized_name,powerpro_2026_speed,residual_a,residual_b,position_source,position_match_status,position_raw_jp,position,position_group,current_usage_plate_appearances,current_usage_games,current_usage_pos_breakdown,age,age_status,acceleration_class,exposure_pa,exposure_games
51255138,中川 圭太,中川圭太,オリックス・バファローズ,オリックス・バファローズ,STAGE_1_BLIND_PHYSICAL_CONSTRUCT_V2,true,32.6,EXACT_PLAYER_ID_OR_TEAM_NAME_MATCH,74.502,75,75,CURRENT_SPRINT_CONFIRMED,EXACT_CANONICAL_TEAM_MATCH,SAME_TEAM_UNIQUE_CANONICAL_ROSTER_LABEL_RESOLUTION,1,中川圭,中川圭,74,1,1,data/pennant.db::npb_usage_2026.primary_pos,EXACT_NORMALIZED_NAME_UNIQUE_CURRENT_USAGE,中,CF,MIDDLE_PREMIUM,315,77,"{""中"":4998,""一"":77,""左"":2267,""右"":4326}",,MISSING_NO_FROZEN_AGE_FIELD,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,366,93
91395138,太田 椋,太田椋,オリックス・バファローズ,オリックス・バファローズ,STAGE_1_BLIND_PHYSICAL_CONSTRUCT_V2,true,31.7,EXACT_PLAYER_ID_OR_TEAM_NAME_MATCH,66.424,66,66,CURRENT_SPRINT_CONFIRMED,EXACT_CANONICAL_TEAM_MATCH,SAME_TEAM_UNIQUE_CANONICAL_ROSTER_LABEL_RESOLUTION,1,太　田,太田,64,2,2,data/pennant.db::npb_usage_2026.primary_pos,EXACT_NORMALIZED_NAME_UNIQUE_CURRENT_USAGE,二,2B,MIDDLE_NEUTRAL,298,72,"{""一"":3940,""二"":7793}",,MISSING_NO_FROZEN_AGE_FIELD,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,347,85
11815130,宗 佑磨,宗佑磨,オリックス・バファローズ,オリックス・バファローズ,STAGE_1_BLIND_PHYSICAL_CONSTRUCT_V2,true,31.9,EXACT_PLAYER_ID_OR_TEAM_NAME_MATCH,68.219,68,68,CURRENT_SPRINT_LIMITED_SUPPORT,EXACT_CANONICAL_TEAM_MATCH,SAME_TEAM_UNIQUE_CANONICAL_ROSTER_LABEL_RESOLUTION,1,宗,宗,76,-8,-8,data/pennant.db::npb_usage_2026.primary_pos,EXACT_NORMALIZED_NAME_UNIQUE_CURRENT_USAGE,三,3B,CORNER_CATCHER,323,78,"{""三"":12063}",,MISSING_NO_FROZEN_AGE_FIELD,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,388,96
51955153,来田 涼斗,来田涼斗,オリックス・バファローズ,オリックス・バファローズ,STAGE_1_BLIND_PHYSICAL_CONSTRUCT_V2,true,32.4,EXACT_PLAYER_ID_OR_TEAM_NAME_MATCH,72.707,73,73,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY,EXACT_CANONICAL_TEAM_MATCH,SAME_TEAM_UNIQUE_CANONICAL_ROSTER_LABEL_RESOLUTION,1,来　田,来田,85,-12,-12,data/pennant.db::npb_usage_2026.primary_pos,EXACT_NORMALIZED_NAME_UNIQUE_CURRENT_USAGE,右,RF,MIDDLE_PREMIUM,135,42,"{""右"":4984,""左"":574}",,MISSING_NO_FROZEN_AGE_FIELD,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,183,62
91495139,森 友哉,森友哉,オリックス・バファローズ,オリックス・バファローズ,STAGE_1_BLIND_PHYSICAL_CONSTRUCT_V2,true,31.2,EXACT_PLAYER_ID_OR_TEAM_NAME_MATCH,61.937,62,62,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY,EXACT_CANONICAL_TEAM_MATCH,SAME_TEAM_UNIQUE_CANONICAL_ROSTER_LABEL_RESOLUTION,1,森　友,森友,65,-3,-3,data/pennant.db::npb_usage_2026.primary_pos,EXACT_NORMALIZED_NAME_UNIQUE_CURRENT_USAGE,捕,C,CORNER_CATCHER,213,54,"{""捕"":3794}",,MISSING_NO_FROZEN_AGE_FIELD,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,250,65
91995151,紅林 弘太郎,紅林弘太郎,オリックス・バファローズ,オリックス・バファローズ,STAGE_1_BLIND_PHYSICAL_CONSTRUCT_V2,true,30.7,EXACT_PLAYER_ID_OR_TEAM_NAME_MATCH,57.449,57,57,CURRENT_SPRINT_CONFIRMED,EXACT_CANONICAL_TEAM_MATCH,SAME_TEAM_UNIQUE_CANONICAL_ROSTER_LABEL_RESOLUTION,1,紅　林,紅林,56,1,1,data/pennant.db::npb_usage_2026.primary_pos,EXACT_NORMALIZED_NAME_UNIQUE_CURRENT_USAGE,遊,SS,MIDDLE_PREMIUM,304,78,"{""遊"":12268}",,MISSING_NO_FROZEN_AGE_FIELD,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,365,95
41645139,若月 健矢,若月健矢,オリックス・バファローズ,オリックス・バファローズ,STAGE_1_BLIND_PHYSICAL_CONSTRUCT_V2,true,30.7,EXACT_PLAYER_ID_OR_TEAM_NAME_MATCH,57.449,57,57,CURRENT_SPRINT_CONFIRMED,EXACT_CANONICAL_TEAM_MATCH,SAME_TEAM_UNIQUE_CANONICAL_ROSTER_LABEL_RESOLUTION,1,若　月,若月,48,9,9,data/pennant.db::npb_usage_2026.primary_pos,EXACT_NORMALIZED_NAME_UNIQUE_CURRENT_USAGE,捕,C,CORNER_CATCHER,220,65,"{""捕"":9053}",,MISSING_NO_FROZEN_AGE_FIELD,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,244,80
71475132,西川 龍馬,西川龍馬,オリックス・バファローズ,オリックス・バファローズ,STAGE_1_BLIND_PHYSICAL_CONSTRUCT_V2,true,31.1,EXACT_PLAYER_ID_OR_TEAM_NAME_MATCH,61.039,61,61,CURRENT_SPRINT_CONFIRMED,EXACT_CANONICAL_TEAM_MATCH,SAME_TEAM_UNIQUE_CANONICAL_ROSTER_LABEL_RESOLUTION,1,西　川,西川,72,-11,-11,data/pennant.db::npb_usage_2026.primary_pos,EXACT_NORMALIZED_NAME_UNIQUE_CURRENT_USAGE,左,LF,CORNER_CATCHER,369,86,"{""左"":9819}",,MISSING_NO_FROZEN_AGE_FIELD,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,436,102
91495130,西野 真弘,西野真弘,オリックス・バファローズ,オリックス・バファローズ,STAGE_1_BLIND_PHYSICAL_CONSTRUCT_V2,true,31.6,EXACT_PLAYER_ID_OR_TEAM_NAME_MATCH,65.527,66,66,CURRENT_SPRINT_LIMITED_SUPPORT,EXACT_CANONICAL_TEAM_MATCH,SAME_TEAM_UNIQUE_CANONICAL_ROSTER_LABEL_RESOLUTION,1,西　野,西野,76,-10,-10,data/pennant.db::npb_usage_2026.primary_pos,EXACT_NORMALIZED_NAME_UNIQUE_CURRENT_USAGE,二,2B,MIDDLE_NEUTRAL,85,29,"{""三"":883,""二"":1348}",,MISSING_NO_FROZEN_AGE_FIELD,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,85,29
93795157,カリステ,カリステ,中日ドラゴンズ,中日ドラゴンズ,STAGE_1_BLIND_PHYSICAL_CONSTRUCT_V2,true,31.3,EXACT_PLAYER_ID_OR_TEAM_NAME_MATCH,62.834,63,64,OLD_DIRECT_T90_DIRECTIONAL,EXACT_CANONICAL_TEAM_MATCH,SAME_TEAM_UNIQUE_CANONICAL_ROSTER_LABEL_RESOLUTION,1,カリステ,カリステ,82,-19,-18,data/pennant.db::npb_usage_2026.primary_pos,EXACT_NORMALIZED_NAME_UNIQUE_CURRENT_USAGE,右,RF,MIDDLE_PREMIUM,62,25,"{""一"":254,""左"":156,""右"":2139,""三"":116}",,MISSING_NO_FROZEN_AGE_FIELD,TEMPORAL_CONSTRUCT_CONFLICT,67,26
